19971112,2020/11/20,大吉,叶う,ちょっと努力すればすぐ繁盛,ちょっと努力すれば良し
19990525,2020/11/20,大吉,叶う,ちょっと努力すればすぐ繁盛,良し
19960209,2020/11/20,大吉,叶う,ちょっと努力すればすぐ繁盛,努力すれば良し
11111111,2020/11/20,中吉,努力すれば叶う,努力すれば繁盛,ちょっと努力すれば良し
13131111,2020/11/20,凶,ほんの少しだけ叶うかもしれない,今は温めておきましょう,良し
15151111,2020/11/20,中吉,努力すれば叶う,努力すれば繁盛,コツコツと努力すれば良し
12220222,2020/11/20,小吉,毎日コツコツ努力していれば叶う,時間がかかるけど繁盛,良し
17771111,2020/11/20,大吉,叶う,すぐ繁盛,コツコツと努力すれば良し
19971112,2020/11/22,凶,ほんの少しだけ叶うかもしれない,もう少し我慢をしましょう,良し
11111111,2020/11/23,凶,ほんの少しだけ叶うかもしれない,今は温めておきましょう,良し
19971112,2020/11/23,凶,ほんの少しだけ叶うかもしれない,もう少し我慢をしましょう,良し
19991112,2020/11/23,末吉,少しだけ叶う,ちょっと繁盛,努力すれば良し
18881112,2020/11/24,末吉,少しだけ叶う,努力すればちょっとだけ繁盛,努力すれば良し
12341230,2020/11/24,末吉,少しだけ叶う,努力すればちょっとだけ繁盛,努力すれば良し
11111111,2020/11/24,小吉,毎日コツコツ努力していれば叶う,ゆっくり繁盛,良し
12221111,2020/11/24,大吉,叶う,すぐ繁盛,努力すれば良し
１３３３１１１１,2020/11/24,吉,努力すれば少し叶う,じっくり考えると繁盛,コツコツと努力すれば良し
19971112,2020/11/24,凶,ほんの少しだけ叶うかもしれない,今は温めておきましょう,ちょっと努力すれば良し
18881111,2020/11/24,凶,ほんの少しだけ叶うかもしれない,今は温めておきましょう,努力すれば良し
15551111,2020/11/24,吉,努力すれば少し叶う,時間がかかるけどちょっと繁盛,良し
12121111,2020/11/24,大吉,叶う,ちょっと努力すればすぐ繁盛,コツコツと努力すれば良し
11110211,2020/11/24,末吉,少しだけ叶う,ちょっと繁盛,良し
13131111,2020/11/24,小吉,毎日コツコツ努力していれば叶う,ゆっくり繁盛,コツコツと努力すれば良し
14141111,2020/11/24,吉,努力すれば少し叶う,じっくり考えると繁盛,良し
16661111,2020/11/24,小吉,毎日コツコツ努力していれば叶う,時間がかかるけど繁盛,コツコツと努力すれば良し
19971112,2020/12/07,吉,努力すれば少し叶う,じっくり考えると繁盛,ちょっと努力すれば良し
11111111,2020/12/09,吉,努力すれば少し叶う,時間がかかるけどちょっと繁盛,努力すれば良し
11111111,2020/12/15,吉,努力すれば少し叶う,時間がかかるけどちょっと繁盛,ちょっと努力すれば良し
11111111,2020/12/16,小吉,毎日コツコツ努力していれば叶う,ゆっくり繁盛,コツコツと努力すれば良し
11111112,2020/12/16,大吉,叶う,ちょっと努力すればすぐ繁盛,努力すれば良し
